% Object Names and Observation Date
Popular Object Name: RULup
Simbad Object Name(s): 2MASS J15564230-3749154|CD-37 10602|Gaia DR1 6010114553824198784|Gaia DR2 6010114558131195392|Gaia DR3 6010114558131195392|HBC 251|HD 142560|HIP 78094|IRAS 15534-3740|IRAS f15533-3740|Sz 83|THA 15-13|TYC 7838-00546-1|V* RU LUP|WISE a j155642.30-374915.7|Wray 15-1386
Observation Date: 2022-07-12 07:12:29.874116+00:00
Julian Observation Date: 2459772.800335648

% Reference and Citation
Principal Investigator for Primary Spectrum: A Banzatti
Reference for Primary Spectrum: Banzatti et al 2022
Spectrograph: ISHELL
Reference for Spectroscopic Line Data: Hitran2016 molecular spectroscopic database (Gordon et al. 2017) at hitran.org
Data Prepared and Organized by: A Banzatti, C Wheeler, SpExoDisks (4-2025)
SpExoDisks Backend written by: Dr Caleb Wheeler (chw3k5@gmail.com), Underground Instruments

% Online Database
Downloadable: True

% Spectrum Context
Spectral Flux: Calibrated (Jansky)
Spectral Wavelength/Velocity Reference Frame: HELIO
Wavelength Units: um=10^-6 meters
Wavelength Range: (4.516609936576374 um, 5.2322119643595695 um)

% Flux Calibration
# The Primary Spectrum is Flux Calibrated using the following
flux_cal,flux_cal_error,wavelength_um,ref
1.7,0.11,4.6,allWISE

% Spectroscopic Line Data
wavelength_um,molecule,isotopologue,transition,upper_level,lower_level,frequency_GHz,einstein_A,upper_level_energy,lower_level_energy,g_statistical_weight_upper_level,g_statistical_weight_lower_level
4.519308360149633,CO,12C18O,v1-0 R-40,(v=1) R-branch (J=40),(v=0) R-branch (J=40),66335.91561122728,19.25,7482.501827864749,4298.898175101933,83.0,81.0
4.519517925710845,CO,12C16O,v1-0 R-19,(v=1) R-branch (J=19),(v=0) R-branch (J=19),66332.8396806497,19.26,4233.2930074942815,1049.8369752735518,41.0,39.0
4.519598266848501,CO,13C16O,v1-0 R-38,(v=1) R-branch (J=38),(v=0) R-branch (J=38),66331.6605369539,19.25,7084.773030666901,3901.373588095119,158.0,154.0
4.51969121668474,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 11 5 7)->(0 0 0 10 2 8),v=(0 1 0) J=11 Ka=5 Kc=7,v=(0 0 0) J=10 Ka=2 Kc=8,66330.29639133227,0.09524,5252.236979489984,2068.903005208553,23.0,21.0
4.519891534608002,CO,12C17O,v1-0 R-29,(v=1) R-branch (J=29),(v=0) R-branch (J=29),66327.35668644762,19.26,5522.558363142614,2339.3654716384785,366.0,354.0
4.520481977006972,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 14 5 9)->(0 0 0 13 4 10),v=(0 1 0) J=14 Ka=5 Kc=9,v=(0 0 0) J=13 Ka=4 Kc=10,66318.69334395482,0.5324,6673.510880502379,3490.7337614881694,29.0,27.0
4.521419268408192,OH,16OH,(X 3/2 1) PP 25.5 ff->X omega V (X 3/2 2),X omega V (X 3/2 2),(X 3/2 1) PP 25.5 ff,66304.94546141586,23.55,23930.22235849958,20748.10503001763,100.0,104.0
4.52154964683668,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 11 8 3)->(0 0 0 10 7 4),v=(0 1 0) J=11 Ka=8 Kc=3,v=(0 0 0) J=10 Ka=7 Kc=4,66303.0335649942,1.658,6137.752488208278,2955.7269157588676,69.0,63.0
4.521601842021011,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 11 8 4)->(0 0 0 10 7 3),v=(0 1 0) J=11 Ka=8 Kc=4,v=(0 0 0) J=10 Ka=7 Kc=3,66302.26819484893,1.66,6137.749279754165,2955.760439068654,23.0,21.0
4.521752628062975,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 13 4 9)->(0 0 0 12 3 10),v=(0 1 0) J=13 Ka=4 Kc=9,v=(0 0 0) J=12 Ka=3 Kc=10,66300.05722547119,0.2258,6005.475147766786,2823.592416269974,81.0,75.0
4.52189982743024,CO,12C16O,v2-1 R-28,(v=2) R-branch (J=28),(v=1) R-branch (J=28),66297.89898958679,38.79,8485.252799576572,5303.473646474386,59.0,57.0
4.5227608998348865,OH,16OH,(X 3/2 3) QP 36.5 ee->X omega V (X 1/2 4),X omega V (X 1/2 4),(X 3/2 3) QP 36.5 ee,66285.27676776913,0.001227,45097.00162016887,41915.828234713284,144.0,148.0
4.52381469280636,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 8 5 3)->(0 0 0 7 2 6),v=(0 1 0) J=8 Ka=5 Kc=3,v=(0 0 0) J=7 Ka=2 Kc=6,66269.83604715759,0.003384,4201.394391248979,1020.962039275589,17.0,15.0
4.523845938830541,CO,12C18O,v1-0 R-39,(v=1) R-branch (J=39),(v=0) R-branch (J=39),66269.3783240327,19.17,7270.600058703125,4090.189673849641,81.0,79.0
4.523898326210278,OH,16OH,(X 1/2 7) QQ 15.5 fe->X omega V (X 1/2 8),X omega V (X 1/2 8),(X 1/2 7) QQ 15.5 fe,66268.6109152987,0.03214,39390.452022984646,36210.07846773133,64.0,64.0
4.524296753944665,OH,16OH,(X 3/2 6) QQ 22.5 ef->X omega V (X 3/2 7),X omega V (X 3/2 7),(X 3/2 6) QQ 22.5 ef,66262.7750353943,0.02014,40293.71478053613,37113.62130174531,92.0,92.0
4.524303140363148,CO,13C16O,v1-0 R-37,(v=1) R-branch (J=37),(v=0) R-branch (J=37),66262.6815001474,19.17,6882.249805956762,3702.1608161241616,154.0,150.0
4.524356215882772,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 14 7 8)->(0 0 0 13 6 7),v=(0 1 0) J=14 Ka=7 Kc=8,v=(0 0 0) J=13 Ka=6 Kc=7,66261.90416828306,1.531,7128.530414157576,3948.478730157568,87.0,81.0
4.524692123613771,OH,16OH,(X 1/2 0) OP 16.5 ee->X omega V (X 3/2 1),X omega V (X 3/2 1),(X 1/2 0) OP 16.5 ee,66256.98496377748,0.001707,11141.203999229027,7961.388398462186,64.0,68.0
4.52473431852805,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 13 5 9)->(0 0 0 13 2 12),v=(0 1 0) J=13 Ka=5 Kc=9,v=(0 0 0) J=13 Ka=2 Kc=12,66256.36709152153,6.962e-05,6118.287781225241,2938.5018334804904,81.0,75.0
4.524743048326179,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 13 7 6)->(0 0 0 12 6 7),v=(0 1 0) J=13 Ka=7 Kc=6,v=(0 0 0) J=12 Ka=6 Kc=7,66256.23926001745,1.623,6681.453683462796,3501.673870627613,81.0,75.0
4.525366740755142,CO,12C17O,v1-0 R-28,(v=1) R-branch (J=28),(v=0) R-branch (J=28),66247.107731643,19.17,5363.142771118608,2183.8012000235194,354.0,342.0
4.525893799090059,CO,12C16O,v1-0 R-18,(v=1) R-branch (J=18),(v=0) R-branch (J=18),66239.3929924458,19.15,4123.9390415285525,944.9677174054397,39.0,37.0
4.527070960140103,OH,16OH,(X 1/2 0) PQ 26.5 fe->X omega V (X 3/2 1),X omega V (X 3/2 1),(X 1/2 0) PQ 26.5 fe,66222.16895639783,0.009596,21906.311912482754,18728.1672069956,108.0,108.0
4.527472966289139,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 11 3 9)->(0 0 0 10 0 10),v=(0 1 0) J=11 Ka=3 Kc=9,v=(0 0 0) J=10 Ka=0 Kc=10,66216.28891706436,0.02627,4781.415215119055,1603.5527054006327,23.0,21.0
4.527500019726318,CO,12C16O,v2-1 R-27,(v=2) R-branch (J=27),(v=1) R-branch (J=27),66215.89325097829,38.6,8328.59949950354,5150.755978653898,57.0,55.0
4.527518246849314,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 6 6 1)->(0 0 0 5 3 2),v=(0 1 0) J=6 Ka=6 Kc=1,v=(0 0 0) J=5 Ka=3 Kc=2,66215.62667552465,0.0001176,3905.4573315098633,727.6266041911474,39.0,33.0
4.528045363624774,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 9 5 4)->(0 0 0 9 0 9),v=(0 1 0) J=9 Ka=5 Kc=4,v=(0 0 0) J=9 Ka=0 Kc=9,66207.91841184454,1.562e-05,4495.744086300522,1318.283295179752,57.0,57.0
4.528470194820771,CO,12C18O,v1-0 R-38,(v=1) R-branch (J=38),(v=0) R-branch (J=38),66201.70722176196,19.09,7063.76344583483,3886.600743121414,79.0,77.0
4.528626833027773,OH,16OH,(X 1/2 7) QR 14.5 ff->X omega V (X 3/2 8),X omega V (X 3/2 8),(X 1/2 7) QR 14.5 ff,66199.41740696775,0.004432,38795.958499987406,35618.90569042427,64.0,60.0
4.529095319346885,CO,13C16O,v1-0 R-36,(v=1) R-branch (J=36),(v=0) R-branch (J=36),66192.5697874761,19.09,6684.825747153548,3508.101569617652,150.0,146.0
4.5291206424220665,OH,16OH,(X 1/2 7) PQ 3.5 fe->X omega V (X 3/2 8),X omega V (X 3/2 8),(X 1/2 7) PQ 3.5 fe,66192.19969368669,0.004247,34665.066985865175,31488.36056992839,16.0,16.0
4.529620023312142,CO,12C17O,v2-1 R-38,(v=2) R-branch (J=38),(v=1) R-branch (J=38),66184.90214567406,38.46,10162.720275227537,6986.364084358051,474.0,462.0
4.529884970479249,OH,16OH,(X 1/2 7) PQ 3.5 ef->X omega V (X 3/2 8),X omega V (X 3/2 8),(X 1/2 7) PQ 3.5 ef,66181.03107556014,0.004514,34664.761470534,31488.59106066778,16.0,16.0
4.530406060385801,OH,16OH,(X 3/2 7) QQ 16.5 ef->X omega V (X 3/2 8),X omega V (X 3/2 8),(X 3/2 7) QQ 16.5 ef,66173.41889536282,0.05774,39341.33495862326,36165.529873701424,68.0,68.0
4.5306726369889265,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 12 3 9)->(0 0 0 11 2 10),v=(0 1 0) J=12 Ka=3 Kc=9,v=(0 0 0) J=11 Ka=2 Kc=10,66169.5253707938,0.07895,5360.802226863807,2185.1840005829663,25.0,23.0
4.530932648875545,CO,12C17O,v1-0 R-27,(v=1) R-branch (J=27),(v=0) R-branch (J=27),66165.72816954151,19.08,5208.983989444869,2033.547999041315,342.0,330.0
4.531859898908971,OH,16OH,(X 1/2 8) QQ 5.5 ef->X omega V (X 1/2 9),X omega V (X 1/2 9),(X 1/2 8) QQ 5.5 ef,66152.19020168165,0.1822,38509.55716729838,35334.77089316892,24.0,24.0
4.532014582230061,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 13 4 9)->(0 0 0 12 3 10),v=(0 1 0) J=13 Ka=4 Kc=9,v=(0 0 0) J=12 Ka=3 Kc=10,66149.93234476347,0.2015,5986.9724000712795,2812.294485364706,81.0,75.0
4.532138360727459,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 9 6 3)->(0 0 0 10 1 10),v=(0 1 0) J=9 Ka=6 Kc=3,v=(0 0 0) J=10 Ka=1 Kc=10,66148.12570547381,7.605e-06,4778.169813427313,1603.5786032365183,81.0,75.0
4.532167466488474,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 14 5 9)->(0 0 0 13 4 10),v=(0 1 0) J=14 Ka=5 Kc=9,v=(0 0 0) J=13 Ka=4 Kc=10,66147.70089956083,0.4915,6651.762462065391,3477.1916392265134,29.0,27.0
4.532249991672445,OH,16OH,(X 1/2 8) QQ 5.5 fe->X omega V (X 1/2 9),X omega V (X 1/2 9),(X 1/2 8) QQ 5.5 fe,66146.49645338157,0.1833,38509.4198756765,35334.90685680732,24.0,24.0
4.532306135821725,OH,16OH,(X 1/2 2) OP 13.5 ee->X omega V (X 3/2 3),X omega V (X 3/2 3),(X 1/2 2) OP 13.5 ee,66145.67706063537,0.006992,18323.046053828944,15148.572359384787,52.0,56.0
4.53236531751715,CO,12C16O,v1-0 R-17,(v=1) R-branch (J=17),(v=0) R-branch (J=17),66144.81335856387,19.03,4020.0266554619875,845.5944119429348,37.0,35.0
4.532872340578927,H2O,H217O,v1 v2 v3 J Ka Kc (0 1 0 11 5 7)->(0 0 0 10 2 8),v=(0 1 0) J=11 Ka=5 Kc=7,v=(0 0 0) J=10 Ka=2 Kc=8,66137.41475051364,0.09549,5239.23851179309,2065.1613434304904,138.0,126.0
4.533034414406527,OH,16OH,(X 1/2 6) QR 21.5 ff->X omega V (X 3/2 7),X omega V (X 3/2 7),(X 1/2 6) QR 21.5 ff,66135.05007754268,0.006048,40308.648845293304,37134.68516268633,92.0,88.0
4.533181360785468,CO,12C18O,v1-0 R-37,(v=1) R-branch (J=37),(v=0) R-branch (J=37),66132.90626167551,19.02,6861.999948528094,3688.139152268016,77.0,75.0
4.533194451003347,CO,12C16O,v2-1 R-26,(v=2) R-branch (J=26),(v=1) R-branch (J=26),66132.71529387978,38.41,8177.2920868260735,5003.440455522361,55.0,53.0
4.533236255952651,OH,16OH,(X 1/2 0) PQ 26.5 ef->X omega V (X 3/2 1),X omega V (X 3/2 1),(X 1/2 0) PQ 26.5 ef,66132.10542608246,0.009412,21875.528887242534,18701.706524809677,108.0,108.0
4.533343027192284,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 13 7 7)->(0 0 0 12 6 6),v=(0 1 0) J=13 Ka=7 Kc=7,v=(0 0 0) J=12 Ka=6 Kc=6,66130.54785436693,1.649,6680.747803415274,3507.0001922081665,27.0,25.0
4.533915351684316,OH,16OH,(X 3/2 8) QQ 6.5 fe->X omega V (X 3/2 9),X omega V (X 3/2 9),(X 3/2 8) QQ 6.5 fe,66122.20007341543,0.6149,38409.84896972618,35236.501986530086,28.0,28.0
4.533975060556428,CO,13C16O,v1-0 R-35,(v=1) R-branch (J=35),(v=0) R-branch (J=35),66121.32929624192,19.01,6492.507947386752,3319.2027546651602,146.0,142.0
4.53433889601661,CO,12C17O,v2-1 R-37,(v=2) R-branch (J=37),(v=1) R-branch (J=37),66116.02371921646,38.3,9958.177819273666,6785.127252635736,462.0,450.0
4.5347006183668315,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 9 9 1)->(0 0 0 8 8 0),v=(0 1 0) J=9 Ka=9 Kc=1,v=(0 0 0) J=8 Ka=8 Kc=0,66110.74980027457,1.685,5746.815884775338,2574.0184248813666,81.0,75.0
4.534700643043044,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 9 9 0)->(0 0 0 8 8 1),v=(0 1 0) J=9 Ka=9 Kc=0,v=(0 0 0) J=8 Ka=8 Kc=1,66110.74944052362,1.676,5746.815867510115,2574.0184248813666,57.0,51.0
4.536445412308178,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 12 7 6)->(0 0 0 12 4 9),v=(0 1 0) J=12 Ka=7 Kc=6,v=(0 0 0) J=12 Ka=4 Kc=9,66085.32248323986,2.762e-05,6228.888612887387,3057.3114647754387,81.0,75.0
4.536518624481008,OH,16OH,(X 1/2 6) PP 10.5 ff->X omega V (X 1/2 7),X omega V (X 1/2 7),(X 1/2 6) PP 10.5 ff,66084.25597157053,6.025,33193.91406731287,30022.388103396017,40.0,44.0
4.536589595725538,CO,12C17O,v1-0 R-26,(v=1) R-branch (J=26),(v=0) R-branch (J=26),66083.22213727911,18.98,5060.087683992381,1888.6113360127745,330.0,318.0
4.537008355834605,H2O,H217O,v1 v2 v3 J Ka Kc (0 1 0 11 3 9)->(0 0 0 10 0 10),v=(0 1 0) J=11 Ka=3 Kc=9,v=(0 0 0) J=10 Ka=0 Kc=10,66077.12273980411,0.02512,4771.1294809866295,1599.945856246043,138.0,126.0
4.537168193504148,OH,16OH,(X 3/2 10) SR 7.5 ee->X omega V (X 1/2 11),X omega V (X 1/2 11),(X 3/2 10) SR 7.5 ee,66074.79494130547,0.03006,44707.33843922429,41536.26653055387,36.0,32.0
4.537406469226695,OH,16OH,(X 3/2 8) QQ 6.5 ef->X omega V (X 3/2 9),X omega V (X 3/2 9),(X 3/2 8) QQ 6.5 ef,66071.32511341733,0.6111,38408.71708178849,35237.81169764159,28.0,28.0
4.5377051289512735,OH,16OH,(X 1/2 6) PP 10.5 ee->X omega V (X 1/2 7),X omega V (X 1/2 7),(X 1/2 6) PP 10.5 ee,66066.97647391782,6.023,33195.7804639169,30025.08378035802,40.0,44.0
4.5379796822696585,CO,12C18O,v1-0 R-36,(v=1) R-branch (J=36),(v=0) R-branch (J=36),66062.97934107532,18.94,6665.316659912414,3494.8118073790183,75.0,73.0
4.538216716890143,H2O,H217O,v1 v2 v3 J Ka Kc (0 1 0 8 5 3)->(0 0 0 7 2 6),v=(0 1 0) J=8 Ka=5 Kc=3,v=(0 0 0) J=7 Ka=2 Kc=6,66059.52881982147,0.003409,4189.010918022102,1018.6716634452042,102.0,90.0
4.538363150867865,OH,16OH,(X 1/2 2) QR 37.5 ee->X omega V (X 3/2 3),X omega V (X 3/2 3),(X 1/2 2) QR 37.5 ee,66057.39735540358,0.003035,44483.24141367439,41313.0044526717,156.0,152.0
4.53893292204295,CO,12C16O,v1-0 R-16,(v=1) R-branch (J=16),(v=0) R-branch (J=16),66049.10518595304,18.91,3921.559801592097,751.7207996845544,35.0,33.0
4.53894262144388,CO,13C16O,v1-0 R-34,(v=1) R-branch (J=34),(v=0) R-branch (J=34),66048.96404366381,18.93,6305.303793294677,3135.471565109988,142.0,138.0
4.538983481758547,CO,12C16O,v2-1 R-25,(v=2) R-branch (J=25),(v=1) R-branch (J=25),66048.36946528187,38.22,8031.336381363404,4861.532688277554,53.0,51.0
4.539147874030858,CO,12C17O,v2-1 R-36,(v=2) R-branch (J=36),(v=1) R-branch (J=36),66045.97742125948,38.15,9758.782477631094,6589.0935838966525,450.0,438.0
4.53918697225886,OH,16OH,(X 3/2 8) QP 10.5 ee->X omega V (X 1/2 9),X omega V (X 1/2 9),(X 3/2 8) QP 10.5 ee,66045.40853509118,0.005465,39654.686879982124,36485.02528832178,40.0,44.0
4.540600453689896,OH,16OH,(X 3/2 10) SR 7.5 ff->X omega V (X 1/2 11),X omega V (X 1/2 11),(X 3/2 10) SR 7.5 ff,66024.84870836305,0.03208,44706.23544032252,41537.56055908697,36.0,32.0
4.541292050830569,OH,16OH,(X 1/2 3) QQ 34.5 fe->X omega V (X 1/2 4),X omega V (X 1/2 4),(X 1/2 3) QQ 34.5 fe,66014.79372928022,0.001435,43875.960464444885,40707.76814334047,140.0,140.0
4.541634923136454,OH,16OH,(X 3/2 6) QP 23.5 ff->X omega V (X 1/2 7),X omega V (X 1/2 7),(X 3/2 6) QP 23.5 ff,66009.80991949994,0.0009502,41112.83224069714,37944.87910337236,92.0,96.0
4.541681475443599,CO,12C16O,v3-2 R-35,(v=3) R-branch (J=35),(v=2) R-branch (J=35),66009.13331790148,57.55,12704.996417588694,9537.07575183381,73.0,71.0
4.5423379276498395,CO,12C17O,v1-0 R-25,(v=1) R-branch (J=25),(v=0) R-branch (J=25),65999.59377199168,18.89,4916.459376755263,1748.9965343819408,318.0,306.0
4.542865409522308,CO,12C18O,v1-0 R-35,(v=1) R-branch (J=35),(v=0) R-branch (J=35),65991.9304172218,18.86,6473.720963748553,3306.6259022977224,73.0,71.0
4.542937359617813,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 7 6 1)->(0 0 0 7 1 6),v=(0 1 0) J=7 Ka=6 Kc=1,v=(0 0 0) J=7 Ka=1 Kc=6,65990.88525077548,4.041e-06,4180.245935027044,1013.2010333680187,81.0,75.0
4.543099829967084,OH,16OH,(X 1/2 2) QR 38.5 ff->X omega V (X 3/2 3),X omega V (X 3/2 3),(X 1/2 2) QR 38.5 ff,65988.5252845461,0.003779,45818.73853276775,42651.80689097766,160.0,156.0
4.543900246543758,OH,16OH,(X 1/2 7) PP 6.5 ff->X omega V (X 1/2 8),X omega V (X 1/2 8),(X 1/2 7) PP 6.5 ff,65976.90128167583,0.2977,35334.77094784213,32168.397167018564,24.0,28.0
4.543998274560246,CO,13C16O,v1-0 R-33,(v=1) R-branch (J=33),(v=0) R-branch (J=33),65975.47795702299,18.85,6123.2199478149905,2956.914475411107,138.0,134.0
4.544047212723245,CO,12C17O,v2-1 R-35,(v=2) R-branch (J=35),(v=1) R-branch (J=35),65974.76741891829,37.99,9564.541931885695,6398.27055973783,438.0,426.0
4.5443224411264,OH,16OH,(X 3/2 0) SR 40.5 ee->X omega V (X 1/2 0),X omega V (X 1/2 0),(X 3/2 0) SR 40.5 ee,65970.77163514183,0.0006052,40272.216864671835,37106.13725880486,168.0,164.0
4.544376807247817,OH,16OH,(X 1/2 7) PP 6.5 ee->X omega V (X 1/2 8),X omega V (X 1/2 8),(X 1/2 7) PP 6.5 ee,65969.9824015169,0.2984,35334.90692730698,32168.865198463765,24.0,28.0
4.544581469382712,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 11 5 7)->(0 0 0 10 2 8),v=(0 1 0) J=11 Ka=5 Kc=7,v=(0 0 0) J=10 Ka=2 Kc=8,65967.01148823736,0.09668,5227.695499595453,2061.7963512877027,23.0,21.0
4.5448228977049085,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 11 2 9)->(0 0 0 10 1 10),v=(0 1 0) J=11 Ka=2 Kc=9,v=(0 0 0) J=10 Ka=1 Kc=10,65963.50721419581,0.02831,4769.309573875562,1603.5786032365183,69.0,63.0
4.544867480790354,CO,12C16O,v2-1 R-24,(v=2) R-branch (J=24),(v=1) R-branch (J=24),65962.86014215446,38.03,7890.737916619799,4725.03800036352,51.0,49.0
4.545522164229031,OH,16OH,(X 3/2 6) PP 11.5 ee->X omega V (X 3/2 7),X omega V (X 3/2 7),(X 3/2 6) PP 11.5 ee,65953.3596292227,6.063,33126.725539110834,29961.48157295932,44.0,48.0
4.545540724774378,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 11 3 9)->(0 0 0 10 0 10),v=(0 1 0) J=11 Ka=3 Kc=9,v=(0 0 0) J=10 Ka=0 Kc=10,65953.09032565767,0.02451,4761.957221430586,1596.7261797379485,23.0,21.0
4.5455970643857775,CO,12C16O,v1-0 R-15,(v=1) R-branch (J=15),(v=0) R-branch (J=15),65952.27288156244,18.79,3828.5424322163917,663.3506214288153,33.0,31.0
4.54583535834767,OH,16OH,(X 3/2 9) RR 11.5 ee->X omega V (X 3/2 10),X omega V (X 3/2 10),(X 3/2 9) RR 11.5 ee,65948.81564495755,76.17,43119.03521839545,39954.00932784856,52.0,48.0
4.545977049724876,OH,16OH,(X 3/2 9) RR 11.5 ff->X omega V (X 3/2 10),X omega V (X 3/2 10),(X 3/2 9) RR 11.5 ff,65946.76011796926,76.18,43122.65981476147,39957.732573387766,52.0,48.0
4.546142905881925,OH,16OH,(X 1/2 4) PQ 16.5 fe->X omega V (X 3/2 5),X omega V (X 3/2 5),(X 1/2 4) PQ 16.5 fe,65944.3541935561,0.03489,29038.84769457107,25874.035918698668,68.0,68.0
4.54652212464764,OH,16OH,(X 3/2 8) QP 10.5 ff->X omega V (X 1/2 9),X omega V (X 1/2 9),(X 3/2 8) QP 10.5 ff,65938.8538713499,0.005558,39653.16454619923,36488.616742651706,40.0,44.0
4.546684185859239,CO,12C16O,v3-2 R-34,(v=3) R-branch (J=34),(v=2) R-branch (J=34),65936.50355843767,57.31,12512.918689321796,9348.483682359703,71.0,69.0
4.546775104615783,OH,16OH,(X 1/2 7) QR 14.5 ee->X omega V (X 3/2 8),X omega V (X 3/2 8),(X 1/2 7) QR 14.5 ee,65935.1850712074,0.004172,38788.56921147338,35624.19748155697,64.0,60.0
4.547337281576209,OH,16OH,(X 3/2 6) PP 11.5 ff->X omega V (X 3/2 7),X omega V (X 3/2 7),(X 3/2 6) PP 11.5 ff,65927.03365431588,6.058,33130.75489707021,29966.774371230087,44.0,48.0
